City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
148,Shawville,45.6001,-76.4827,37.99,90,100,5.01,CA,2021-03-28 12:42:48
149,Chumikan,54.7183,135.315,14.61,98,99,4.0,RU,2021-03-28 12:42:48
150,Vila Franca Do Campo,37.7167,-25.4333,60.8,77,40,6.91,PT,2021-03-28 12:42:48
151,Zharkent,44.1628,80.0,54.73,59,100,10.71,KZ,2021-03-28 12:41:15
152,Katherine,-14.4667,132.2667,78.8,69,75,16.11,AU,2021-03-28 12:42:49
153,Algiers,36.7525,3.042,75.2,46,0,10.36,DZ,2021-03-28 12:42:49
154,Sisimiut,66.9395,-53.6735,-3.51,67,21,7.7,GL,2021-03-28 12:42:49
155,San Juan,-31.5375,-68.5364,65.98,32,0,1.79,AR,2021-03-28 12:39:09
156,Nishihara,26.1842,127.7558,71.6,94,75,3.44,JP,2021-03-28 12:42:49
157,Pemberton,50.3164,-122.8027,43.0,82,100,7.18,CA,2021-03-28 12:42:50
158,Luderitz,-26.6481,15.1594,71.58,58,10,8.7,NA,2021-03-28 12:42:50
159,Januaria,-15.4833,-44.3667,85.91,34,66,4.52,BR,2021-03-28 12:42:50
160,Souillac,-20.5167,57.5167,84.2,74,40,3.44,MU,2021-03-28 12:42:50
161,Urengoy,65.9667,78.3667,8.11,95,94,9.46,RU,2021-03-28 12:42:51
162,Farafangana,-22.8167,47.8333,81.99,73,20,10.0,MG,2021-03-28 12:42:51
163,Pervomayskoye,43.919,46.7102,52.21,50,95,15.79,RU,2021-03-28 12:42:51
164,Chuy,-33.6971,-53.4616,68.83,89,52,8.55,UY,2021-03-28 12:42:51
165,Astana,51.1801,71.446,32.0,93,90,11.18,KZ,2021-03-28 12:42:51
166,Nuuk,64.1835,-51.7216,6.8,61,20,11.5,GL,2021-03-28 12:42:48
167,Qasigiannguit,68.8193,-51.1922,-9.4,41,7,4.61,GL,2021-03-28 12:42:52
168,Slantsy,59.1182,28.0914,39.25,91,100,4.56,RU,2021-03-28 12:42:52
169,Port Hedland,-20.3167,118.5667,87.8,51,10,8.05,AU,2021-03-28 12:42:52
170,Hobart,-42.8794,147.3294,57.2,47,40,17.27,AU,2021-03-28 12:42:52
171,Morant Bay,17.8815,-76.4093,77.0,73,20,10.36,JM,2021-03-28 12:42:53
172,Uryupinsk,50.8047,42.0138,46.0,59,94,7.0,RU,2021-03-28 12:42:53
